,Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,produce_variety,Type_of_Commodity,Package_Type,package_weight(Kg),Day,Month,Year,Price
918,Legumes,Beans Mwitemania,Bag,90,KES5397.00,12/01/2013,2,2,0,90,1,12,2013,5397.0
919,Legumes,Mwezi Moja,Bag,90,KES5813.00,12/01/2013,2,27,0,90,1,12,2013,5813.0
920,Legumes,Dolichos (Njahi),Bag,90,KES7429.00,12/01/2013,2,14,0,90,1,12,2013,7429.0
921,Legumes,Green Gram,Bag,90,KES7916.00,12/01/2013,2,18,0,90,1,12,2013,7916.0
922,Legumes,Cowpeas,Bag,90,KES5702.00,12/01/2013,2,12,0,90,1,12,2013,5702.0
923,Legumes,Fresh Peas,Bag,51,KES2762.00,12/01/2013,2,17,0,51,1,12,2013,2762.0
924,Legumes,Groundnuts,Bag,110,KES11417.00,12/01/2013,2,20,0,110,1,12,2013,11417.0
925,Roots & Tubers,Red Irish Potatoes,Bag,110,KES3019.00,12/01/2013,3,33,0,110,1,12,2013,3019.0
926,Roots & Tubers,White Irish Potatoes,Bag,110,KES2967.00,12/01/2013,3,40,0,110,1,12,2013,2967.0
927,Roots & Tubers,Cassava Fresh,Bag,99,KES2068.00,12/01/2013,3,8,0,99,1,12,2013,2068.0
928,Roots & Tubers,Sweet Potatoes,Bag,98,KES2777.00,12/01/2013,3,37,0,98,1,12,2013,2777.0
929,Cereals,Dry Maize,Bag,90,KES2435.00,01/01/2015,0,15,0,90,1,1,2015,2435.0
930,Cereals,Green Maize,Ext Bag,115,KES3237.00,01/01/2015,0,19,2,115,1,1,2015,3237.0
931,Cereals,Finger Millet,Bag,90,KES6868.00,01/01/2015,0,16,0,90,1,1,2015,6868.0
932,Cereals,Sorghum,Bag,90,KES3756.00,01/01/2015,0,35,0,90,1,1,2015,3756.0
933,Cereals,Wheat,Bag,90,KES3477.00,01/01/2015,0,39,0,90,1,1,2015,3477.0
934,Legumes,Beans Canadian,Bag,90,KES6277.00,01/01/2015,2,1,0,90,1,1,2015,6277.0
935,Legumes,Beans Rosecoco,Bag,90,KES6111.00,01/01/2015,2,3,0,90,1,1,2015,6111.0
936,Legumes,Beans Mwitemania,Bag,90,KES5871.00,01/01/2015,2,2,0,90,1,1,2015,5871.0
937,Legumes,Mwezi Moja,Bag,90,KES5349.00,01/01/2015,2,27,0,90,1,1,2015,5349.0
938,Legumes,Dolichos (Njahi),Bag,90,KES7042.00,01/01/2015,2,14,0,90,1,1,2015,7042.0
939,Legumes,Green Gram,Bag,90,KES11143.00,01/01/2015,2,18,0,90,1,1,2015,11143.0
940,Legumes,Cowpeas,Bag,90,KES6764.00,01/01/2015,2,12,0,90,1,1,2015,6764.0
941,Legumes,Fresh Peas,Bag,51,KES2461.00,01/01/2015,2,17,0,51,1,1,2015,2461.0
942,Legumes,Groundnuts,Bag,110,KES11559.00,01/01/2015,2,20,0,110,1,1,2015,11559.0
943,Roots & Tubers,Red Irish Potatoes,Bag,110,KES2490.00,01/01/2015,3,33,0,110,1,1,2015,2490.0
944,Roots & Tubers,White Irish Potatoes,Bag,110,KES2515.00,01/01/2015,3,40,0,110,1,1,2015,2515.0
945,Roots & Tubers,Cassava Fresh,Bag,99,KES1753.00,01/01/2015,3,8,0,99,1,1,2015,1753.0
946,Roots & Tubers,Sweet Potatoes,Bag,98,KES2677.00,01/01/2015,3,37,0,98,1,1,2015,2677.0
947,Cereals,Dry Maize,Bag,90,KES2417.00,02/01/2015,0,15,0,90,1,2,2015,2417.0
948,Cereals,Green Maize,Ext Bag,115,KES2653.00,02/01/2015,0,19,2,115,1,2,2015,2653.0
949,Cereals,Finger Millet,Bag,90,KES6906.00,02/01/2015,0,16,0,90,1,2,2015,6906.0
950,Cereals,Sorghum,Bag,90,KES4202.00,02/01/2015,0,35,0,90,1,2,2015,4202.0
951,Cereals,Wheat,Bag,90,KES3662.00,02/01/2015,0,39,0,90,1,2,2015,3662.0
952,Legumes,Beans Canadian,Bag,90,KES6151.00,02/01/2015,2,1,0,90,1,2,2015,6151.0
953,Legumes,Beans Rosecoco,Bag,90,KES6484.00,02/01/2015,2,3,0,90,1,2,2015,6484.0
954,Legumes,Beans Mwitemania,Bag,90,KES6269.00,02/01/2015,2,2,0,90,1,2,2015,6269.0
955,Legumes,Mwezi Moja,Bag,90,KES4783.00,02/01/2015,2,27,0,90,1,2,2015,4783.0
956,Legumes,Dolichos (Njahi),Bag,90,KES8023.00,02/01/2015,2,14,0,90,1,2,2015,8023.0
957,Legumes,Green Gram,Bag,90,KES11535.00,02/01/2015,2,18,0,90,1,2,2015,11535.0
958,Legumes,Cowpeas,Bag,90,KES7208.00,02/01/2015,2,12,0,90,1,2,2015,7208.0
959,Legumes,Fresh Peas,Bag,51,KES2511.00,02/01/2015,2,17,0,51,1,2,2015,2511.0
960,Legumes,Groundnuts,Bag,110,KES11926.00,02/01/2015,2,20,0,110,1,2,2015,11926.0
961,Roots & Tubers,Red Irish Potatoes,Bag,110,KES2761.00,02/01/2015,3,33,0,110,1,2,2015,2761.0
962,Roots & Tubers,White Irish Potatoes,Bag,110,KES2690.00,02/01/2015,3,40,0,110,1,2,2015,2690.0
963,Roots & Tubers,Cassava Fresh,Bag,99,KES1893.00,02/01/2015,3,8,0,99,1,2,2015,1893.0
964,Roots & Tubers,Sweet Potatoes,Bag,98,KES2541.00,02/01/2015,3,37,0,98,1,2,2015,2541.0
965,Cereals,Dry Maize,Bag,90,KES2473.00,03/01/2015,0,15,0,90,1,3,2015,2473.0
966,Cereals,Green Maize,Ext Bag,115,KES2795.00,03/01/2015,0,19,2,115,1,3,2015,2795.0
967,Cereals,Finger Millet,Bag,90,KES6916.00,03/01/2015,0,16,0,90,1,3,2015,6916.0
968,Cereals,Sorghum,Bag,90,KES4183.00,03/01/2015,0,35,0,90,1,3,2015,4183.0
969,Cereals,Wheat,Bag,90,KES3739.00,03/01/2015,0,39,0,90,1,3,2015,3739.0
970,Legumes,Beans Canadian,Bag,90,KES6525.00,03/01/2015,2,1,0,90,1,3,2015,6525.0
971,Legumes,Beans Rosecoco,Bag,90,KES6850.00,03/01/2015,2,3,0,90,1,3,2015,6850.0
972,Legumes,Beans Mwitemania,Bag,90,KES6321.00,03/01/2015,2,2,0,90,1,3,2015,6321.0
973,Legumes,Mwezi Moja,Bag,90,KES5382.00,03/01/2015,2,27,0,90,1,3,2015,5382.0
974,Legumes,Dolichos (Njahi),Bag,90,KES8228.00,03/01/2015,2,14,0,90,1,3,2015,8228.0
975,Legumes,Green Gram,Bag,90,KES11315.00,03/01/2015,2,18,0,90,1,3,2015,11315.0
976,Legumes,Cowpeas,Bag,90,KES7436.00,03/01/2015,2,12,0,90,1,3,2015,7436.0
977,Legumes,Fresh Peas,Bag,51,KES3015.00,03/01/2015,2,17,0,51,1,3,2015,3015.0
978,Legumes,Groundnuts,Bag,110,,03/01/2015,2,20,0,110,1,3,2015,3188.371828521435
979,Roots & Tubers,Red Irish Potatoes,Bag,110,KES2686.00,03/01/2015,3,33,0,110,1,3,2015,2686.0
980,Roots & Tubers,White Irish Potatoes,Bag,110,KES2556.00,03/01/2015,3,40,0,110,1,3,2015,2556.0
981,Roots & Tubers,Cassava Fresh,Bag,99,KES1940.00,03/01/2015,3,8,0,99,1,3,2015,1940.0
982,Roots & Tubers,Sweet Potatoes,Bag,98,KES2687.00,03/01/2015,3,37,0,98,1,3,2015,2687.0
983,Cereals,Dry Maize,Bag,90,KES2796.00,04/01/2015,0,15,0,90,1,4,2015,2796.0
